Traffic,Sources,UDP,TCP
1497509,135043,168194,1266209
1469038,135778,181867,1225106
1432392,135243,175072,1196222
1444212,136951,183237,1198312
1468530,136533,179656,1228320
1531308,135988,183157,1287993
1468352,135527,179135,1228103
1466137,135892,182917,1221091
1403448,135847,184646,1158679
1439200,135333,187042,1190934
1433825,135951,187867,1181707
1501486,135565,185267,1253639
1535322,135847,183206,1290380
1295000,134183,173261,1058893
1341539,134961,181347,1092726
1339116,133643,178608,1096323
1312391,133802,178544,1059047
1356071,132600,175057,1116163
1257340,132000,170473,1020025
1215980,130971,169157,984671
1219366,131038,177960,979538
1251156,131172,187805,999272
1231424,132431,188529,972844
1213532,129977,178508,972751
1194226,130280,172232,959245
1217801,130575,180025,976966
1180134,130592,182304,936726
1194812,129981,173742,957275
1228138,128712,172431,991603
1114294,128890,172058,877701
2165692,128540,176184,1911196
2465868,128431,177214,2208748
2483305,129309,176999,2233440
2650417,129671,180836,2392056
2498147,130320,184478,2244159
2553058,130157,188881,2300615
2483751,130421,184837,2220594
2516304,130481,184485,2252924
2513692,129629,183482,2263173
2456294,129588,179230,2216290
2372626,129521,168570,2142976
2527680,130049,187860,2277725
2530368,130797,189523,2275173
1593669,130934,187929,1342998
1182093,129926,171108,947343
1210782,131053,155510,993039
1132198,130942,149553,920236
1148760,130336,145464,941736
1221249,129708,146660,1012007
1136846,129606,146273,928461
1157117,129555,146438,947653
1117461,129288,145048,914033
1138698,129161,144796,936754
1176540,129087,142938,968392
1191628,129098,145422,970843
1188338,129412,143761,972446
1173326,129683,150039,950482
1158527,130330,153635,936815
1145294,130025,151513,941995
1154199,129732,149150,954552
1135034,129518,150743,921777
1137099,129672,151240,923252
1148492,129611,151130,943708
1207615,129012,147587,1008018
1260271,129038,149584,1058365
1160399,129085,150579,956771
1157688,129347,152450,938506
1170236,129000,149308,947175
1182355,128424,148861,979225
1184271,128194,148909,981844
1239371,128356,149834,1036980
1289300,128113,150661,1082010
1296516,127699,149933,1096653
1200990,127762,148110,1001651
1219042,127589,139675,1029407
1221679,127106,134103,1038464
1245970,126032,130663,1066105
1261519,126072,128280,1082224
1283983,126457,127642,1095471
1257148,126104,126305,1068592
1313496,126038,125243,1121694
1317901,125521,123470,1132774
1269553,124342,122621,1083459
1216704,124615,123767,1030203
1245503,124367,122737,1060824
1309076,124307,124233,1123262
1426936,124100,120039,1244838
1680429,123698,119561,1496813
1681754,123133,122766,1491636
1631505,122742,133734,1430627
1694279,122862,129941,1497211
1666483,122325,114786,1490560
1568808,122939,116798,1391131
1608095,122541,116000,1430982
1598138,121389,113859,1422934
1636321,120885,113227,1462156
1728236,121220,111640,1555566
1665470,121894,114504,1489643
1557430,121432,114675,1382840
